,target
2023-06-28 16:26:24,0.0
2023-06-28 16:27:24,0.0
2023-06-28 16:28:24,0.3
2023-06-28 16:29:24,0.0
2023-06-28 16:30:24,0.0
2023-06-28 16:31:24,100.0
2023-06-28 16:32:24,100.0
2023-06-28 16:33:24,100.0
2023-06-28 16:34:24,100.0
2023-06-28 16:35:24,100.0
2023-06-28 16:36:24,100.0
2023-06-28 16:37:24,100.0
2023-06-28 16:38:24,100.0
2023-06-28 16:39:24,100.0
2023-06-28 16:40:24,100.0
2023-06-28 16:41:24,100.0
2023-06-28 16:42:24,100.0
2023-06-28 16:43:24,40.6
2023-06-28 16:44:24,42.8
2023-06-28 16:45:24,41.6
2023-06-28 16:46:24,40.5
2023-06-28 16:47:24,39.6
2023-06-28 16:48:24,37.7
2023-06-28 16:49:24,39.6
2023-06-28 16:50:24,42.6
2023-06-28 16:51:24,36.8
2023-06-28 16:52:24,44.2
2023-06-28 16:53:24,38.1
2023-06-28 16:54:24,39.8
2023-06-28 16:55:24,40.8
2023-06-28 16:56:24,40.3
2023-06-28 16:57:24,42.2
2023-06-28 16:58:24,36.9
2023-06-28 16:59:24,40.6
2023-06-28 17:00:24,39.1
2023-06-28 17:01:24,41.1
2023-06-28 17:02:24,100.0
2023-06-28 17:03:24,99.8
2023-06-28 17:04:24,100.0
2023-06-28 17:05:24,99.9
2023-06-28 17:06:24,100.0
2023-06-28 17:07:24,0.1
2023-06-28 17:08:24,92.9
2023-06-28 17:09:24,0.4
2023-06-28 17:10:24,5.6
2023-06-28 17:11:24,11.2
2023-06-28 17:12:24,20.9
2023-06-28 17:13:24,14.2
2023-06-28 17:14:24,22.9
2023-06-28 17:15:24,22.1
2023-06-28 17:16:24,26.6
2023-06-28 17:17:24,15.6
2023-06-28 17:18:24,23.9
2023-06-28 17:19:24,20.8
2023-06-28 17:20:24,29.6
2023-06-28 17:21:24,27.5
2023-06-28 17:22:24,17.0
2023-06-28 17:23:24,26.7
2023-06-28 17:24:24,13.5
2023-06-28 17:25:24,22.5
2023-06-28 17:26:24,23.2
2023-06-28 17:27:24,13.2
2023-06-28 17:28:24,12.7
2023-06-28 17:29:24,21.1
